secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,expiration,rate
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-11-09,0.721525
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-11-16,1.019453
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-11-23,1.030145
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-11-30,1.195149
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.295444
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2018-12-31,1.066874
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-01-18,1.03423
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-01-31,1.015616
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.308167
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.410856
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.34923
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.47655
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.465526
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.545096
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.595648
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.662054
108105,2018-09-19,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.742268
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-09-21,0
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-09-24,0
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-09-26,0.031571
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-09-28,0.051066
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-01,0.204552
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-03,0.212422
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-05,0.246656
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-08,0.415763
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-10,0.708774
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-12,0.628376
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-15,0.734437
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-17,0.703161
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-19,0.668039
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-22,0.773933
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-26,0.630931
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-10-31,0.749482
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-11-02,0.722781
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-11-09,1.050787
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-11-16,1.305769
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-11-23,1.294266
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-11-30,1.443145
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-12-21,1.494191
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2018-12-31,1.254015
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-01-18,1.195769
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-01-31,1.169127
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-02-28,1.44034
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-03-15,1.526091
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-03-29,1.455288
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-06-21,1.559222
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-06-28,1.557225
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-09-20,1.608127
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2019-12-20,1.646396
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2020-06-19,1.685992
108105,2018-09-20,64881510,SPX,9999,1,32768,,A,,2020-12-18,1.762348
